review_length,0,1
1,2585.0,40972.0
2,4519.0,59814.0
3,6029.0,83177.0
4,4538.0,119874.0
5,3976.0,53512.0
6,2930.0,35825.0
7,3139.0,48332.0
8,4863.0,52812.0
9,5157.0,129850.0
10,3795.0,68201.0
11,3283.0,42292.0
12,3230.0,41920.0
13,3641.0,38047.0
14,3667.0,52839.0
15,4328.0,39106.0
16,4495.0,35481.0
17,3687.0,31812.0
18,3152.0,27595.0
19,3073.0,25926.0
20,2841.0,25209.0
21,2747.0,23170.0
22,2492.0,22510.0
23,2476.0,20980.0
24,2556.0,19978.0
25,2267.0,18943.0
26,2276.0,18715.0
27,2235.0,17447.0
28,2247.0,16511.0
29,2227.0,16716.0
30,2098.0,16242.0
31,2026.0,15607.0
32,2006.0,15048.0
33,1871.0,13739.0
34,1759.0,13095.0
35,1726.0,13005.0
36,1676.0,12413.0
37,1607.0,11977.0
38,1640.0,11276.0
39,1536.0,12121.0
40,1458.0,11098.0
41,1569.0,10695.0
42,1485.0,10163.0
43,1459.0,10479.0
44,1369.0,9343.0
45,1370.0,9559.0
46,1346.0,8846.0
47,1333.0,8560.0
48,1235.0,8472.0
49,1224.0,8033.0
50,1180.0,8005.0
51,1169.0,7543.0
52,1143.0,7280.0
53,1204.0,7230.0
54,1123.0,6704.0
55,1123.0,6720.0
56,1046.0,6397.0
57,1056.0,6292.0
58,999.0,6141.0
59,1010.0,5933.0
60,971.0,5734.0
61,998.0,5625.0
62,968.0,5534.0
63,1001.0,5222.0
64,902.0,5177.0
65,917.0,5536.0
66,873.0,5008.0
67,869.0,4852.0
68,888.0,4477.0
69,867.0,4603.0
70,804.0,4480.0
71,835.0,4381.0
72,762.0,4245.0
73,721.0,4153.0
74,795.0,4036.0
75,797.0,4223.0
76,743.0,3877.0
77,769.0,3753.0
78,729.0,3695.0
79,744.0,3640.0
80,690.0,3577.0
81,700.0,3500.0
82,669.0,3478.0
83,681.0,3298.0
84,624.0,3219.0
85,644.0,3057.0
86,656.0,3076.0
87,641.0,3394.0
88,660.0,2877.0
89,592.0,2992.0
90,603.0,2818.0
91,623.0,2689.0
92,590.0,2653.0
93,564.0,2704.0
94,572.0,2548.0
95,536.0,2541.0
96,552.0,2507.0
97,509.0,2473.0
98,528.0,2391.0
99,500.0,2359.0
100,477.0,2331.0
101,518.0,2155.0
102,538.0,2173.0
103,504.0,2125.0
104,509.0,2042.0
105,479.0,2139.0
106,504.0,2026.0
107,497.0,1973.0
108,465.0,1886.0
109,456.0,1926.0
110,455.0,1864.0
111,470.0,1907.0
112,440.0,1842.0
113,410.0,1843.0
114,423.0,1734.0
115,408.0,1677.0
116,452.0,1662.0
117,435.0,1551.0
118,406.0,1626.0
119,413.0,1652.0
120,396.0,1512.0
121,414.0,1534.0
122,384.0,1575.0
123,379.0,1529.0
124,371.0,1483.0
125,341.0,1460.0
126,342.0,1382.0
127,330.0,1428.0
128,366.0,1337.0
129,371.0,1362.0
130,409.0,1267.0
131,394.0,1329.0
132,355.0,1305.0
133,361.0,1253.0
134,339.0,1257.0
135,339.0,1215.0
136,348.0,1171.0
137,356.0,1205.0
138,331.0,1156.0
139,335.0,1176.0
140,326.0,1108.0
141,324.0,1121.0
142,297.0,1112.0
143,301.0,1089.0
144,326.0,1114.0
145,311.0,1034.0
146,303.0,999.0
147,302.0,1014.0
148,320.0,997.0
149,319.0,984.0
150,271.0,995.0
151,340.0,942.0
152,285.0,995.0
153,275.0,953.0
154,307.0,910.0
155,282.0,920.0
156,271.0,922.0
157,294.0,881.0
158,267.0,882.0
159,268.0,919.0
160,252.0,833.0
161,251.0,848.0
162,252.0,834.0
163,240.0,810.0
164,250.0,787.0
165,238.0,820.0
166,279.0,858.0
167,268.0,777.0
168,243.0,770.0
169,255.0,800.0
170,237.0,753.0
171,280.0,757.0
172,257.0,755.0
173,243.0,710.0
174,201.0,751.0
175,265.0,754.0
176,249.0,688.0
177,247.0,652.0
178,246.0,681.0
179,194.0,610.0
180,239.0,680.0
181,231.0,690.0
182,213.0,676.0
183,252.0,640.0
184,195.0,633.0
185,213.0,604.0
186,210.0,624.0
187,194.0,607.0
188,211.0,579.0
189,225.0,584.0
190,217.0,574.0
191,209.0,607.0
192,214.0,525.0
193,189.0,568.0
194,193.0,678.0
195,202.0,497.0
196,208.0,604.0
197,183.0,533.0
198,210.0,525.0
199,180.0,525.0
200,185.0,537.0
201,169.0,506.0
202,200.0,516.0
203,198.0,496.0
204,182.0,517.0
205,199.0,511.0
206,181.0,489.0
207,164.0,506.0
208,192.0,502.0
209,193.0,481.0
210,183.0,468.0
211,173.0,466.0
212,178.0,465.0
