1,122450
2,177366
3,230764
4,318875
5,247744
6,196548
7,186853
8,206788
9,214390
10,202831
11,195030
12,189216
13,192369
14,182685
15,178022
16,171257
17,162877
18,155327
19,151073
20,145511
21,140276
22,133857
23,131199
24,128788
25,123008
26,119154
27,115529
28,112727
29,109469
30,106413
31,103031
32,100214
33,97427
34,94713
35,92599
36,89703
37,88027
38,86231
39,84287
40,82536
41,80836
42,78883
43,78290
44,76273
45,74646
46,74155
47,73113
48,70707
49,69024
50,67769
51,66769
52,65497
53,64320
54,63208
55,62833
56,60427
57,59659
58,58871
59,57843
60,56593
61,55361
62,54691
63,54072
64,53183
65,52797
66,51710
67,50848
68,50058
69,49199
70,48876
71,48079
72,47411
73,46596
74,46153
75,45619
76,44741
77,44938
78,43829
79,43297
80,42908
81,42263
82,41561
83,41323
84,40577
85,40220
86,39559
87,39417
88,38899
89,38591
90,38217
91,37535
92,37054
93,36642
94,36621
95,35834
96,35578
97,35344
98,34760
99,34235
100,33816
101,33541
102,33509
103,32852
104,32165
105,32351
106,32167
107,31798
108,30942
109,30576
110,30817
111,30546
112,29819
113,29442
114,29632
115,29141
116,28503
117,28438
118,28130
119,28104
120,27354
121,27404
122,27263
123,26840
124,26956
125,26307
126,26025
127,25694
128,25588
129,25491
130,25471
131,25158
132,24673
133,24416
134,24157
135,23960
136,23945
137,23683
138,23786
139,23592
140,23650
141,23106
142,22815
143,22669
144,22747
145,22510
146,22275
147,22169
148,21493
149,21312
150,21309
151,21783
152,21087
153,21277
154,21029
155,20793
156,20557
157,20486
158,20242
159,20452
160,20296
161,19850
162,19796
163,19998
164,19640
165,19764
166,19546
167,19124
168,18961
169,19145
170,18816
171,18588
172,18680
173,18354
174,18052
175,18158
176,18027
177,17852
178,17928
179,17973
180,17703
181,17262
182,17141
183,17099
184,17104
185,17103
186,16978
187,16685
188,16828
189,16765
190,16336
191,16618
192,16280
193,16089
194,15983
195,15992
196,16887
197,16016
198,16116
199,16229
200,16397
201,15411
202,15409
203,15291
204,15389
205,15216
206,15049
207,15124
208,15765
209,14847
210,14667
211,14770
212,14487
213,14544
214,14568
215,14397
216,14750
217,14520
218,14398
219,14194
220,14451
221,14184
222,13789
223,13708
224,13812
225,13685
226,13390
227,13483
228,13234
229,13296
230,13074
231,13015
232,13017
233,12863
234,12493
235,12710
236,12900
237,12491
238,12479
239,12479
240,12452
241,12512
242,12352
243,12176
244,12195
245,12099
246,12228
247,12013
248,11853
249,11708
250,11652
251,11671
252,11626
253,11470
254,11333
255,11491
256,11237
257,11144
258,11306
259,11337
260,11291
261,11404
262,10981
263,10894
264,10981
265,11067
266,10866
267,10752
268,10689
269,10635
270,10662
271,11169
272,10784
273,10601
274,10267
275,10460
276,10215
277,10388
278,10155
279,10512
280,10163
281,10163
282,9987
283,10113
284,9862
285,10010
286,9683
287,9968
288,9834
289,9714
290,9748
291,9699
292,9620
293,9682
294,9522
295,9350
296,9406
297,9405
298,9427
299,9465
300,9414
301,9003
302,9055
303,9106
304,9317
305,9299
306,10457
307,9348
308,9214
309,9123
310,8999
311,9299
312,9286
313,9257
314,9045
315,8950
316,8999
317,8774
318,9089
319,9076
320,8938
321,8644
322,8969
323,8738
324,8737
325,8447
326,8385
327,8296
328,8324
329,8339
330,8318
331,8097
332,8212
333,8182
334,8122
335,8154
336,8154
337,8299
338,7910
339,7978
340,7758
341,7945
342,7734
343,7712
344,7546
345,7736
346,7624
347,7844
348,7742
349,7673
350,7436
351,7477
352,7545
353,7329
354,7626
355,7608
356,7338
357,7356
358,7305
359,7105
360,7150
361,7096
362,7292
363,7140
364,6978
365,7116
366,6914
367,7003
368,6988
369,6909
370,6940
371,6892
372,6843
373,6699
374,6768
375,6793
376,6693
377,6578
378,6780
379,6627
380,6626
381,6515
382,6470
383,6457
384,6535
385,6516
386,6417
387,6598
388,6376
389,6349
390,6288
391,6132
392,6265
393,6387
394,6486
395,6167
396,6293
397,5947
398,6244
399,6095
400,6117
401,6096
402,6056
403,5923
404,5845
405,5912
406,5941
407,5886
408,5797
409,6040
410,5929
411,5923
412,5561
413,5808
414,5834
415,5692
416,5669
417,5576
418,5774
419,5761
420,5668
421,5584
422,5548
423,5590
424,5577
425,5463
426,5679
427,5389
428,5425
429,5658
430,5380
431,5467
432,5438
433,5479
434,5248
435,5382
436,5267
437,5295
438,5424
439,5214
440,5120
441,5232
442,5214
443,5061
444,5274
445,5139
446,5005
447,5057
448,5254
449,5022
450,5077
451,4944
452,4873
453,4998
454,5028
455,4975
456,5143
457,4885
458,5000
459,4920
460,4745
461,4846
462,4914
463,4832
464,5122
465,4885
466,4753
467,4854
468,4748
469,4678
470,4638
471,4624
472,4742
473,4601
474,4665
475,4725
476,4447
477,4515
478,4485
479,4482
480,4623
481,4558
482,4586
483,4594
484,4468
485,4312
486,4447
487,4449
488,4384
489,4534
490,4456
491,4277
492,4350
493,4253
494,4346
495,4347
496,4357
497,4281
498,4104
499,4289
500,4291
501,4186
502,4177
503,4093
504,4288
505,4168
506,4437
507,4149
508,4183
509,4007
510,4129
511,4070
512,4124
513,4045
514,4029
515,4071
516,4081
517,4115
518,4110
519,4013
520,3986
521,4057
522,4058
523,3863
524,3969
525,3932
526,3950
527,3996
528,3804
529,3869
530,3817
531,3866
532,3834
533,3773
534,3657
535,3713
536,3687
537,3757
538,3593
539,3788
540,3684
541,3687
542,3855
543,3727
544,3560
545,3645
546,3624
547,3555
548,3667
549,3681
550,3579
551,3564
552,3558
553,3682
554,3532
555,3477
556,3471
557,3494
558,3457
559,3448
560,3405
561,3543
562,3461
563,3470
564,3375
565,3478
566,3493
567,3398
568,3354
569,3421
570,3426
571,3316
572,3227
573,3368
574,3297
575,3145
576,3306
577,3281
578,3242
579,3179
580,3249
581,3218
582,3241
583,3120
584,3191
585,3273
586,3127
587,3094
588,3165
589,3246
590,3141
591,3141
592,3157
593,3236
594,3137
595,3170
596,3096
597,3043
598,3019
599,3007
600,3127
601,3083
602,3076
603,3052
604,3018
605,2892
606,3010
607,2983
608,2997
609,3026
610,2913
611,3006
612,2886
613,2953
614,2974
615,2964
616,2887
617,2848
618,2983
619,2931
620,2865
621,2998
622,2762
623,2876
624,2839
625,2844
626,2814
627,2896
628,2862
629,2857
630,2939
631,2813
632,2698
633,2806
634,2811
635,2821
636,2723
637,2687
638,2801
639,2797
640,2689
641,2730
642,2715
643,3028
644,2776
645,2702
646,2631
647,2668
648,2639
649,2802
650,2632
651,2673
652,2619
653,2636
654,2610
655,2620
656,2679
657,2575
658,2522
659,2596
660,2625
661,2608
662,2528
663,2528
664,2440
665,2552
666,2486
667,2576
668,2461
669,2434
670,2437
671,2432
672,2491
673,2508
674,2457
675,2552
676,2489
677,2473
678,2392
679,2339
680,2396
681,2352
682,2484
683,2388
684,2434
685,2378
686,2291
687,2324
688,2392
689,2317
690,2322
691,2374
692,2330
693,2278
694,2405
695,2340
696,2289
697,2297
698,2290
699,2211
700,2180
701,2211
702,2153
703,2316
704,2373
705,2286
706,2269
707,2199
708,2199
709,2185
710,2115
711,2181
712,2301
713,2234
714,2194
715,2137
716,2105
717,2226
